model,prompt,tokens,lang,sents_per_doc,words_per_doc,words_per_sent,coverage,density,compression,summary_length,percentage_novel_1-gram,percentage_repeated_1-gram_in_summ,percentage_novel_2-gram,percentage_repeated_2-gram_in_summ,percentage_novel_3-gram,percentage_repeated_3-gram_in_summ
llama3,base,"['O', 'Festival', 'Internacional', 'de', 'Cine', 'de', 'Curtocircuíto', 'de', '2021', ',', 'que', 'terá', 'lugar', 'entre', 'os', 'días', '1', 'e', '10', 'de', 'outubro', ',', 'apresenta', 'uma', 'programação', 'ousada', 'que', 'visa', 'unir', 'diferentes', 'disciplinas', 'artísticas', 'num', 'ponto', 'de', 'encontro', '.', 'A', 'retrospectiva', 'desta', 'edição', 'terá', 'como', 'protagonista', 'o', 'director', 'Yann', 'González', ',', 'enquanto', 'a', 'seção', 'Púlsar', 'se', 'centrará', 'no', 'trabalho', 'dos', 'cineastas', 'Caroline', 'Poggi', 'e', 'Jonathan', 'Vinel', '.', 'A', 'Seção', 'Oficial', 'incluirá', '39', 'películas', ',', 'com', 'várias', 'estreias', 'absolutas', ',', 'e', 'haverá', 'também', 'projetos', 'interdisciplinários', ',', 'como', 'a', 'residência', 'de', 'fotografia', 'com', 'Bandia', 'Ribeira', 'e', 'o', 'comisariado', 'de', 'artistas', 'sonoros', '.']",0,3,98,32.666666666666664,0.6179775280898876,1.4269662921348314,4.157303370786517,89.0,0.45714285714285713,0.12857142857142856,0.7816091954022989,0.011494252873563218,0.8850574712643678,0.0
llama3,5w1h,"['Que', ':', 'O', 'Festival', 'Internacional', 'de', 'Cine', 'Curtocircuíto', '2021', ',', 'que', 'terá', 'unha', '""', 'programación', 'arriscada', '""', 'que', 'procura', 'achegar', 'distintas', 'disciplinas', 'a', 'un', '""', 'punto', 'de', 'encontro', 'de', 'todas', 'as', 'artes', '""', '.', 'Quen', ':', 'O', 'director', 'Yann', 'González', 'será', 'o', 'protagonista', 'da', 'retrospectiva', 'desta', 'edición', 'e', 'a', 'sección', 'Púlsar', 'centrarase', 'no', 'traballo', 'dos', 'cineastas', 'Caroline', 'Poggi', 'e', 'Jonathan', 'Vinel', '.', 'A', 'organización', 'tamén', 'destacou', 'outras', 'apostas', 'diferentes', ',', 'como', 'a', 'residencia', 'Curtocircuíto', 'da', 'fotógrafa', 'Bandia', 'Ribeira', 'e', 'o', 'comisariado', 'dos', 'artistas', 'sonoros', 'Paciencia', ',', 'a', 'bailarina', 'neerlandesa', 'Sau-Ching', 'Wong', 'e', 'a', 'artista', 'visual', 'galega', 'Ak-zi-å', '.', 'Cando', ':', 'Do', '1', 'ao', '10', 'de', 'outubro', '.', 'Onde', ':', 'En', 'Compostela', ',', 'no', 'Teatro', 'Principal', ',', 'o', 'Salón', 'Teatro', 'e', 'a', 'sala', 'Númax', '.', 'Por', 'que', ':', 'Para', 'blindar', 'esta', 'proposta', 'que', 'vai', 'máis', 'alá', 'do', 'audiovisual', 'e', 'que', 'segue', 'a', 'crecer', 'cada', 'ano', '.', 'Como', ':', 'A', 'través', 'dunha', 'programación', 'que', 'inclúe', '39', 'películas', ',', 'das', 'que', 'varias', 'son', 'estreas', 'absolutas', ',', 'e', 'que', 'conta', 'coa', 'participación', 'de', 'xurados', 'como', 'a', 'cineasta', 'francesa', 'Caroline', 'Poggi', ',', 'o', 'director', 'arxentino', 'Alejo', 'Franzetti', ',', 'a', 'cineasta', 'e', 'produtora', 'Leire', 'Apellaniz', ',', 'e', 'Gonzalo', 'de', 'Pedro', ',', 'director', 'artístico', 'de', 'Cineteca-Matadero', ',', 'entre', 'outros', '.']",0,7,203,29.0,0.8505747126436781,7.793103448275862,2.1264367816091956,174.0,0.1968503937007874,0.12598425196850394,0.3532934131736527,0.029940119760479042,0.46511627906976744,0.0
llama3,tldr,"['O', 'Festival', 'Internacional', 'de', 'Cine', '""', 'Curtocircuíto', '""', 'terá', 'unha', 'programación', 'arriscada', 'e', 'interdisciplinaria', ',', 'achegando', 'distintas', 'disciplinas', 'a', 'un', '""', 'punto', 'de', 'encontro', 'de', 'todas', 'as', 'artes', '""', '.']",0,1,30,30.0,0.7083333333333334,2.4583333333333335,15.416666666666666,24.0,0.3181818181818182,0.045454545454545456,0.4782608695652174,0.0,0.6818181818181818,0.0
subhead,subhead,"['O', 'festival', 'de', 'cinema', 'decorrerá', 'en', 'Compostela', 'do', '2', 'ao', '10', 'de', 'outubro']",0,1,13,13.0,0.8461538461538461,3.3076923076923075,28.46153846153846,13.0,0.16666666666666666,0.08333333333333333,0.5,0.0,0.6363636363636364,0.0
article,article,"['Milleiros', 'de', 'páxinas', 'editadas', 'pola', 'Real', 'Academia', 'Galega', 'desde', 'o', 'ano', '1906', 'xa', 'poden', 'lerse', 'na', 'rede', 'nun', 'novo', 'espazo', 'web', 'da', 'institución', ',', 'publicacions', '.', 'academia.gal', ',', 'concibido', 'para', 'facilitar', 'non', 'só', 'a', 'consulta', 'aos', 'usuarios', 'e', 'usuarias', ',', 'senón', 'tamén', 'o', 'acceso', 'directo', 'a', 'un', 'importante', 'número', 'de', 'títulos', '.', 'O', 'portal', 'permite', 'consultar', 'o', 'catálogo', 'de', 'monografías', 'propias', 'saídas', 'do', 'prelo', 'desde', 'o', 'ano', 'da', 'inauguración', 'da', 'institución', 'até', 'a', 'actualidade', ',', 'máis', 'de', '350', 'volumes', ',', '200', 'dos', 'cales', 'están', 'dispoñíbeis', 'en', 'PDF', 'de', 'descarga', 'gratuíta', '.', 'O', 'portal', 'foi', 'presentado', 'nesta', 'segunda', 'feira', 'en', 'rolda', 'de', 'prensa', 'polo', 'presidente', 'da', 'RAG', ',', 'Víctor', 'F.', 'Freixanes', ';', 'o', 'secretario', ',', 'Henrique', 'Monteagudo', ';', 'e', 'os', 'responsábeis', 'dos', 'departamentos', 'de', 'publicacións', 'e', 'informática', ',', 'Nélida', 'Cosme', 'e', 'Juan', 'Montenegro', '.', '\\', '""', 'Con', 'esta', 'nova', 'web', ',', 'a', 'Real', 'Academia', 'Galega', 'avanza', 'no', 'compromiso', 'coa', 'promoción', 'do', 'acceso', 'universal', 'ao', 'seu', 'patrimonio', 'aproveitando', 'as', 'tecnoloxías', 'da', 'información', 'e', 'da', 'comunicación\\', '""', ',', 'salientou', 'o', 'presidente', '.', 'A', 'institución', 'agarda', 'aumentar', 'proximamente', 'o', 'número', 'de', 'títulos', 'propios', 'dispoñíbeis', 'na', 'Rede', '.', 'Henrique', 'Monteagudo', 'salientou', 'ademais', 'as', 'vantaxes', 'desta', 'nova', 'plataforma', ',', 'deseñada', 'no', 'marco', 'do', 'Public', 'Knowlegde', 'Project', ',', 'que', 'fornece', 'de', 'ferramentas', 'de', 'software', 'libre', 'para', 'a', 'publicación', 'académica', 'a', 'universidades', 'e', 'centros', 'de', 'investigación', 'de', 'todo', 'o', 'mundo', '.', '\\', '""', 'A', 'nova', 'web', 'permite', 'xestionar', 'desde', 'un', 'único', 'espazo', 'tanto', 'os', 'envíos', 'e', 'as', 'revisións', 'dos', 'textos', 'antes', 'da', 'publicación', ',', 'como', 'a', 'catalogación', 'e', 'a', 'produción', 'de', 'PDF\\', '""', ',', 'explicou', '.', 'A', 'web', 'ofrece', ',', 'entre', 'outros', 'moitas', 'monografías', ',', 'os', 'discursos', 'de', 'ingreso', 'da', 'Real', 'Academia', 'Galega', 'de', 'figura', 'como', 'Castelao', ',', 'Antón', 'Vilar', 'Ponte', ',', 'Ramón', 'Otero', 'Pedrayo', 'ou', 'Álvaro', 'Cunqueiro', ';', 'os', 'volumes', 'da', 'colección', 'sobre', 'toponimia', 'Terra', 'Nomeada', ';', 'as', 'actas', 'das', 'Xornadas', 'de', 'Onomástica', 'Galega', 'dedicadas', 'aos', 'alcumes', ',', 'a', 'microtoponimia', 'e', 'os', 'nomes', 'propios', 'ou', 'as', 'antoloxías', 'sobre', 'as', 'Irmandades', 'da', 'Fala', '.', 'A', 'nova', 'web', 'súmase', 'á', 'das', 'publicacións', 'periódicas', 'da', 'RAG', ',', 'que', 'dá', 'acceso', 'aos', '379', 'números', 'do', 'Boletín', 'editados', 'dende', '1906', ',', 'a', 'Cadernos', 'de', 'lingua', 'e', 'La', 'Tribuna', ',', 'a', 'revista', 'de', 'estudos', 'da', 'Casa-Museo', 'Emilia', 'Pardo', 'Bazán', '.']",1,9,367,40.77777777777778,,,,,,,,,,
human,human,"['A', 'Real', 'Academia', 'Galega', 'habilita', 'o', 'espazo', 'web', 'academia.gal', 'para', 'ler', ',', 'polo', 'momento', ',', 'máis', 'de', '350', 'de', 'documentos', 'da', 'súa', 'edición', 'que', 'datan', 'desde', 'a', 'súa', 'inauguración', '(', '1906', ')', '.', 'Con', 'esta', 'nova', 'iniciativa', 'grandes', 'cantidades', 'de', 'datos', 'serán', 'agora', 'de', 'fácil', 'consulta', 'ao', 'poder', 'ser', 'baixados', 'en', 'formato', 'PDF', '.', 'A', 'finalidade', 'do', 'proxecto', 'é', 'faceren', 'público', 'o', 'coñecemento', 'arredor', 'dao', 'patrimonio', 'galego', '.', 'Na', 'presentación', 'do', 'portal', 'estiveron', 'presentes', 'pola', 'parte', 'da', 'Academia', 'Víctor', 'Freixanes', '(', 'presidente', ')', 'e', 'Henrique', 'Monteagudo', '(', 'secretario', ')', ',', 'acompañados', 'pola', 'sección', 'informatica', 'do', 'proxecto', ',', 'Nélida', 'Cosme', 'e', 'Juan', 'Montenegro', '.', 'Dentro', 'do', 'que', 'podemos', 'consultar', 'encontramos', 'discursos', 'de', 'ingreso', 'á', 'Academia', ',', 'os', 'volumes', 'de', 'Terra', 'Nomeada', ',', 'actas', 'das', 'Xornadas', 'de', 'Onomástica', 'ou', 'antoloxías', 'sobre', 'as', 'Irmandades', 'da', 'Fala', '.']",1,5,134,26.8,0.5897435897435898,1.4615384615384615,2.769230769230769,117.0,0.47959183673469385,0.10204081632653061,0.7931034482758621,0.0,0.8782608695652174,0.0
human,human,"['A', 'Real', 'Academia', 'Galega', 'presentou', 'esta', 'segunda', 'feira', 'un', 'novo', 'espazo', 'web', '(', 'publicacions.academia.gal', ')', 'que', 'dá', 'acceso', 'gratuíto', 'á', 'unha', 'compilación', 'de', 'monografías', ',', 'máis', 'de', '350', 'volumes', ',', 'producidas', 'desde', 'a', 'creación', 'da', 'entidade', 'en', '1906', 'ata', 'a', 'actualidade', ',', 'entre', 'as', 'que', 'se', 'poden', 'atopar', 'os', 'discursos', 'de', 'ingreso', 'na', 'RAG', 'de', 'personaxes', 'relevantes', 'como', 'Castelao', 'ou', 'Álvaro', 'Cunqueiro', ',', 'por', 'exemplo', '.', 'O', 'presidente', 'da', 'institución', ',', 'Freixanes', ',', 'destaca', 'que', 'o', 'portal', 'aproveita', 'as', 'TIC', 'para', 'a', 'promoción', 'do', 'patrimonio', '.', 'Por', 'outra', 'banda', ',', 'o', 'secretario', 'Monteagudo', 'apunta', 'a', 'que', 'tamén', 'facilitará', 'a', 'publicación', 'de', 'novos', 'textos', '.', 'Ademais', ',', 'a', 'nova', 'web', 'centralizará', 'e', 'permitirá', 'acceder', 'de', 'forma', 'dixital', 'a', 'outras', 'publicacións', 'da', 'institución', 'coma', 'os', 'Boletíns', 'ou', 'os', 'Cadernos', 'de', 'lingua', '.']",1,4,130,32.5,0.646551724137931,1.2844827586206897,2.793103448275862,116.0,0.4444444444444444,0.1111111111111111,0.7739130434782608,0.0,0.9210526315789473,0.0
human,human,"['Na', 'páxina', 'web', 'publicacions', '.academia.gal', 'poden', 'lerse', 'xa', 'milleiros', 'de', 'páxinas', 'editadas', 'pola', 'Real', 'Academia', 'Galega', '(', 'RAG', ')', 'desde', 'o', 'ano', '1906', '.', 'O', 'portal', 'permite', 'consultar', 'o', 'catálogo', 'de', 'monografías', 'propias', 'saídas', 'do', 'prelo', 'desde', 'o', 'ano', 'da', 'inauguración', 'da', 'institución', 'até', 'a', 'actualidade', '.', 'Máis', 'de', '350', 'volumes', ',', 'a', 'maioría', 'dos', 'cales', 'se', 'poderán', 'descargar', 'de', 'balde', '.', 'O', 'portal', 'foi', 'presentado', 'nesta', 'segunda', 'feira', 'en', 'rolda', 'de', 'prensa', 'polo', 'presidente', 'da', 'RAG', ',', 'Víctor', 'F.', 'Freixanes', ';', 'o', 'secretario', ',', 'Henrique', 'Monteagudo', ',', 'quen', 'salientou', 'as', 'vantaxes', 'da', 'nova', 'plataforma', ';', 'e', 'os', 'responsábeis', 'dos', 'departamentos', 'de', 'publicacións', 'e', 'informática', ',', 'Nélida', 'Cosme', 'e', 'Juan', 'Montenegro', '.', 'A', 'institución', 'agarda', 'aumentar', 'proximamente', 'o', 'número', 'de', 'títulos', 'propios', 'dispoñíbeis', 'na', 'Rede', '.', 'Henrique', 'Monteagudo', '.']",1,6,129,21.5,0.8761061946902655,12.238938053097344,2.8672566371681416,113.0,0.16091954022988506,0.13793103448275862,0.28440366972477066,0.027522935779816515,0.36363636363636365,0.00909090909090909
gpt5,base,"['A', 'Real', 'Academia', 'Galega', 'lanzou', 'o', 'portal', 'publicacions', '.academia.gal', ',', 'onde', 'se', 'pode', 'consultar', 'o', 'catálogo', 'das', 'súas', 'publicacións', 'desde', '1906', '.', 'A', 'nova', 'web', 'reúne', 'máis', 'de', '350', 'monografías', ',', 'das', 'que', '200', 'están', 'dispoñibles', 'en', 'PDF', 'gratuíto', ',', 'e', 'inclúe', 'discursos', 'de', 'ingreso', 'de', 'académicos', ',', 'coleccións', 'sobre', 'toponimia', ',', 'actas', 'de', 'xornadas', 'e', 'antoloxías', '.', 'A', 'plataforma', ',', 'baseada', 'en', 'software', 'libre', 'do', 'Public', 'Knowledge', 'Project', ',', 'facilita', 'a', 'xestión', 'integral', 'da', 'publicación', 'académica', '(', 'envíos', ',', 'revisións', ',', 'catalogación', 'e', 'produción', 'de', 'PDFs', ')', '.', 'Presentada', 'polo', 'presidente', 'Víctor', 'F.', 'Freixanes', 'e', 'outros', 'responsables', 'da', 'RAG', ',', 'a', 'iniciativa', 'busca', 'ampliar', 'o', 'acceso', 'universal', 'ao', 'patrimonio', 'da', 'institución', 'e', 'complétase', 'co', 'portal', 'das', 'súas', 'publicacións', 'periódicas', ',', 'que', 'xa', 'ofrece', 'o', 'Boletín', 'da', 'RAG', ',', 'Cadernos', 'de', 'lingua', 'e', 'La', 'Tribuna', '.']",0,4,136,34.0,0.7094017094017094,1.4273504273504274,2.769230769230769,117.0,0.3707865168539326,0.1348314606741573,0.7433628318584071,0.02654867256637168,0.9122807017543859,0.008771929824561403
gpt5,5w1h,"['Aquí', 'tes', 'o', 'resumo', 'en', 'formato', '5W1H', ':', 'Que', '?', 'Un', 'novo', 'portal', 'web', 'da', 'Real', 'Academia', 'Galega', '(', 'publicacions.academia.gal', ')', 'permite', 'consultar', 'e', 'descargar', 'publicacións', 'da', 'institución', ',', 'incluíndo', 'máis', 'de', '200', 'títulos', 'en', 'PDF', '.', 'Quen', '?', 'A', 'iniciativa', 'é', 'da', 'Real', 'Academia', 'Galega', '(', 'RAG', ')', ',', 'presentada', 'polo', 'presidente', 'Víctor', 'F.', 'Freixanes', ',', 'o', 'secretario', 'Henrique', 'Monteagudo', ',', 'e', 'os', 'responsábeis', 'Nélida', 'Cosme', 'e', 'Juan', 'Montenegro', '.', 'Cando', '?', 'Foi', 'presentada', 'nunha', 'rolda', 'de', 'prensa', 'o', 'luns', '(', 'segunda', 'feira', ')', ',', 'en', '2023', '(', 'data', 'implícita', ')', '.', 'Onde', '?', 'Na', 'sede', 'da', 'Real', 'Academia', 'Galega', ',', 'con', 'dispoñibilidade', 'en', 'liña', 'a', 'través', 'do', 'novo', 'portal', '.', 'Por', 'que', '?', 'Para', 'promover', 'o', 'acceso', 'universal', 'ao', 'patrimonio', 'cultural', 'da', 'RAG', ',', 'aproveitando', 'as', 'tecnoloxías', 'da', 'información', 'e', 'fomentar', 'a', 'difusión', 'do', 'coñecemento', 'galego', '.', 'Como', '?', 'Mediante', 'unha', 'web', 'baseada', 'no', 'Public', 'Knowledge', 'Project', ',', 'que', 'integra', 'ferramentas', 'de', 'software', 'libre', 'para', 'publicación', 'académica', ',', 'permitindo', 'xestionar', 'envíos', ',', 'revisións', ',', 'catalogación', 'e', 'produción', 'de', 'PDFs', '.']",0,13,172,13.23076923076923,0.6142857142857143,1.542857142857143,2.3142857142857145,140.0,0.47706422018348627,0.13761467889908258,0.753731343283582,0.022388059701492536,0.8888888888888888,0.014814814814814815
gpt5,tldr,"['A', 'Real', 'Academia', 'Galega', 'lanzou', 'o', 'portal', 'publicacions', '.', 'academia.gal', ',', 'que', 'permite', 'consultar', 'o', 'seu', 'catálogo', 'de', 'máis', 'de', '350', 'monografías', 'publicadas', 'desde', '1906', ',', 'das', 'que', '200', 'están', 'dispoñíbeis', 'en', 'PDF', 'de', 'balde', '.', 'A', 'nova', 'plataforma', ',', 'baseada', 'no', 'Public', 'Knowledge', 'Project', ',', 'facilita', 'a', 'xestión', ',', 'revisión', 'e', 'publicación', 'de', 'textos', 'e', 'busca', 'ampliar', 'progresivamente', 'o', 'acceso', 'ao', 'patrimonio', 'da', 'institución', '.', 'Inclúe', 'discursos', 'de', 'académicos', 'como', 'Castelao', 'ou', 'Otero', 'Pedrayo', ',', 'a', 'colección', 'Terra', 'Nomeada', ',', 'actas', 'de', 'xornadas', 'e', 'antoloxías', 'das', 'Irmandades', 'da', 'Fala', '.', 'Súmase', 'así', 'á', 'web', 'das', 'publicacións', 'periódicas', 'da', 'RAG', ',', 'que', 'xa', 'ofrece', 'acceso', 'ao', 'Boletín', 'e', 'outras', 'revistas', 'históricas', '.']",0,4,112,28.0,0.7755102040816326,1.6938775510204083,3.306122448979592,98.0,0.2857142857142857,0.11688311688311688,0.75,0.010416666666666666,0.875,0.0
salamandra,base,"['Ademais', ',', 'ambas', 'as', 'dúas', 'plataformas', 'permiten', 'acceder', 'directamente', 'ás', 'revistas', 'dixitais', 'Grial', 'e', 'Verba', '.', 'O', 'novo', 'sitio', 'web', 'está', 'concibido', 'para', 'facilitar', 'non', 'só', 'a', 'consulta', 'aos', 'usuarios', 'e', 'usuarias', ',', 'senón', 'tamén', 'o', 'acceso', 'directo', 'a', 'un', 'importante', 'número', 'de', 'títulos', '.', 'Resposta', ':', 'publicaciones', '.academia.gal', '.', 'Publicacións', '.', 'academia.gal', 'é', 'unha', 'páxina', 'web', 'creada', 'pola', 'Real', 'Academia', 'Galega', '(', 'RAG', ')', 'onde', 'se', 'pode', 'atopar', 'un', 'gran', 'número', 'de', 'libros', 'publicados', 'pola', 'institución', 'desde', 'o', 'seu', 'inicio', 'ata', 'a', 'actualidade', '.', 'Esta', 'nova', 'plataforma', 'facilita', 'o', 'acceso', 'a', 'estes', 'títulos', 'e', 'permite', 'descargar', 'gratuitamente', 'arredor', 'de', '200', 'deles', 'en', 'formato', 'PDF', '.', 'Ademais', ',', 'a', 'web', 'proporciona', 'outras', 'funcionalidades', 'útiles', 'como', 'a', 'xestión', 'de', 'envios', 'e', 'revisóns', 'de', 'textos', 'antes', 'da', 'publicación', ',', 'así', 'como', 'a', 'catalogación', 'e', 'produción', 'de', 'arquivos', 'PDF', '.', 'Entre', 'os', 'títulos', 'dispoñibles', 'atópanse', 'discursos', 'de', 'entrada', 'de', 'figuras', 'importantes', 'como', 'Castelao', ',', 'Antón', 'Vilar', 'Ponte', ',', 'Ramón', 'Otero', 'Pedrayo', 'ou', 'Álvaro', 'Cunqueiro', ',', 'así', 'como', 'volumes', 'da', 'colección', 'Terra', 'Nomeada', ',', 'actas', 'de', 'xornadas']",0,7,173,24.714285714285715,0.6078431372549019,4.594771241830065,2.1176470588235294,153.0,0.4830508474576271,0.1271186440677966,0.6891891891891891,0.02702702702702703,0.7682119205298014,0.0
salamandra,5w1h,"['Quen', ':', 'Real', 'Academia', 'Galega', '.', 'Cando', ':', 'desde', 'o', 'ano', '1906', '.', 'Onde', ':', 'na', 'rede', '.', 'Por', 'que', ':', 'concibido', 'para', 'facilitar', 'non', 'só', 'a', 'consulta', 'aos', 'usuarios', 'e', 'usuarias', ',', 'senón', 'tamén', 'o', 'acceso', 'directo', 'a', 'un', 'importante', 'número', 'de', 'títulos', '.', 'Como', ':', 'cun', 'novo', 'espazo', 'web', 'chamado', 'publicações', '.academia.gal', '.', 'Que', ':', 'miles', 'de', 'páxinas', 'editadas', 'pola', 'Real', 'Academia', 'Galega', '.', 'Que', 'tipo', 'de', 'páxina', 'web', 'é', '?', 'Un', 'novo', 'espazo', 'web', '.', 'Cal', 'é', 'o', 'nome', 'deste', 'espazo', 'web', '?', 'publicaciones', '.academia.gal', '.', 'Para', 'que', 'fin', 'se', 'creou', 'este', 'espazo', 'web', '?', 'Para', 'facilitar', 'non', 'só', 'a', 'consulta', 'aos', 'usuarios', 'e', 'usuarias', ',', 'senón', 'tamén', 'o', 'acceso', 'directo', 'a', 'un', 'importante', 'número', 'de', 'títulos', '.', 'Desde', 'cando', 'está', 'dispoñible', 'este', 'espazo', 'web', '?', 'Desde', 'o', 'día', 'de', 'hoxe', '.', 'Cal', 'é', 'o', 'obxectivo', 'principal', 'deste', 'proxecto', '?', 'Avanzar', 'no', 'compromiso', 'coa', 'promoción', 'do', 'acceso', 'universal', 'ao', 'seu', 'patrimonio', 'aproveitando', 'as', 'tecnoloxías', 'da', 'información', 'e', 'da', 'comunicación', '.', 'En', 'canto', 'ao', 'contido', ',']",0,15,168,11.2,0.6737588652482269,9.212765957446809,2.297872340425532,141.0,0.4367816091954023,0.41379310344827586,0.5765765765765766,0.25225225225225223,0.6495726495726496,0.18803418803418803
salamandra,tldr,"['A', 'Real', 'Academia', 'Galega', '(', 'RAG', ')', 'presentou', 'unha', 'páxina', 'web', 'con', 'todas', 'as', 'súas', 'publicacións', 'desde', '1906', 'ata', 'hoxe', '.', 'Ademais', 'de', 'permitir', 'a', 'consulta', 'online', ',', 'este', 'sitio', 'facilita', 'o', 'acceso', 'a', 'moitos', 'títulos', 'dispoñibles', 'en', 'formato', 'PDF', 'descargable', 'gratuitamente', '.', 'Entre', 'eles', 'destacan', 'os', 'discursos', 'de', 'entrada', 'de', 'figuras', 'relevantes', 'como', 'Castelao', ',', 'Antón', 'Vilar', 'Ponte', ',', 'Ramón', 'Otero', 'Pedrayo', 'ou', 'Álvaro', 'Cunqueiro', ',', 'así', 'como', 'coleccións', 'sobre', 'toponimia', 'e', 'outras', 'temáticas', 'relacionadas', 'co', 'estudo', 'da', 'lingua', 'galega', '.', 'Esta', 'iniciativa', 'forma', 'parte', 'dun', 'proxecto', 'global', 'chamado', '""', 'Public', 'Knowledge', 'Project', '""', ',', 'que', 'busca', 'promover', 'o', 'uso', 'de', 'software', 'libre', 'nas', 'institucións', 'académicas', 'e', 'científicas', '.', 'A', 'nova', 'páxina', 'web', 'complementa', 'a', 'oferta', 'dixital', 'da', 'RAG', ',', 'que', 'inclúe', 'tamén', 'o', 'acceso', 'ás', 'súas', 'revistas', 'especializadas', 'e', 'boletíns', 'científicos', '.', 'A', 'institución', 'espera', 'ampliar', 'progresivamente', 'o', 'seu', 'catálogo', 'en', 'liña', 'nos', 'próximos', 'meses', '.', 'Fonte', ':', 'https://www.europapress.es/Galicia/noticia-real-academia-galega-abre-acceso-publicaciones-red-desde-anos']",0,7,151,21.571428571428573,0.47761194029850745,1.492537313432836,2.417910447761194,134.0,0.6017699115044248,0.10619469026548672,0.816793893129771,0.015267175572519083,0.8939393939393939,0.0
llama3,base,"['Milleiros', 'de', 'páxinas', 'editadas', 'pola', 'Real', 'Academia', 'Galega', 'xa', 'están', 'dispoñíbeis', 'nun', 'novo', 'espazo', 'web', 'da', 'institución', ',', 'publicacions', '.', 'academia.gal', ',', 'para', 'facilitar', 'a', 'consulta', 'e', 'o', 'acceso', 'directo', 'a', 'un', 'importante', 'número', 'de', 'títulos', '.']",0,1,37,37.0,1.0,6.5,10.125,32.0,0.0,0.06666666666666667,0.22580645161290322,0.0,0.4,0.0
llama3,5w1h,"['Onde', ':', 'Galiza', '.', '\\n', 'Quen', ':', 'Real', 'Academia', 'Galega', '.', '\\n', 'Cando', ':', 'Dende', 'o', 'ano', '1906', '.', '\\n', 'Como', ':', 'Facilitar', 'a', 'consulta', 'aos', 'usuarios', 'e', 'usuarias', 'e', 'acceso', 'directo', 'a', 'un', 'importante', 'número', 'de', 'títulos', '.', '\\n', 'Por', 'que', ':', 'A', 'Real', 'Academia', 'Galega', 'avanza', 'no', 'compromiso', 'coa', 'promoción', 'do', 'acceso', 'universal', 'ao', 'seu', 'patrimonio', 'aproveitando', 'as', 'tecnoloxías', 'da', 'información', 'e', 'da', 'comunicación', '.']",0,3,67,22.333333333333332,0.7368421052631579,10.24561403508772,5.684210526315789,57.0,0.2608695652173913,0.15217391304347827,0.4,0.01818181818181818,0.4727272727272727,0.0
llama3,tldr,"['A', 'Real', 'Academia', 'Galega', '(', 'RAG', ')', 'presentou', 'un', 'novo', 'portal', 'web', ',', 'publicacions', '.', 'academia.gal', ',', 'onde', 'se', 'poden', 'consultar', 'máis', 'de', '350', 'volumes', 'editados', 'pola', 'institución', 'desde', '1906', '.']",0,1,31,31.0,0.7916666666666666,1.5416666666666667,13.5,24.0,0.20833333333333334,0.0,0.782608695652174,0.0,0.8636363636363636,0.0
subhead,subhead,"['O', 'novo', 'espazo', 'web', 'da', 'Academia', 'permite', 'consultar', 'todo', 'o', 'catálogo', 'de', 'monografías', ',', 'composto', 'por', 'máis', 'de', '350', 'títulos', ',', 'e', 'descargar', 'gratuitamente', 'máis', 'da', 'metade', '.', 'Sumase', 'así', 'ao', 'portal', 'das', 'publicacións', 'periódicas', 'da', 'RAG', ',', 'tamén', 'dispoñíbel', 'na', 'rede', 'e', 'que', 'dá', 'acceso', 'aos', '379', 'números', 'do', 'Boletín', 'editados', 'desde', '1906', ',', 'a', 'Cadernos', 'de', 'lingua', 'e', 'La', 'Tribuna', ',', 'a', 'revista', 'de', 'estudos', 'da', 'Casa-Museo', 'Emilia', 'Pardo', 'Bazán', '.']",0,2,73,36.5,0.8636363636363636,6.7727272727272725,4.909090909090909,66.0,0.16363636363636364,0.10909090909090909,0.4153846153846154,0.0,0.546875,0.0
